agente,semente,tempo_medio_espera,maior_fila,veiculos_atendidos,trocas_semaforo
Reflexivo,42,6.17910447761194,5,67,7
Baseado em Modelo,42,2.869565217391304,3,69,21
Orientado a Objetivos,42,2.057142857142857,2,70,39
Baseado em Utilidade,42,2.057142857142857,2,70,39
Reflexivo,43,6.910714285714286,5,56,6
Baseado em Modelo,43,2.716666666666667,3,60,19
Orientado a Objetivos,43,2.066666666666667,2,60,30
Baseado em Utilidade,43,2.0833333333333335,2,60,32
Reflexivo,44,5.956521739130435,5,69,6
Baseado em Modelo,44,2.8857142857142857,3,70,25
Orientado a Objetivos,44,2.0142857142857142,2,70,37
Baseado em Utilidade,44,2.0142857142857142,2,70,37
Reflexivo,45,6.352941176470588,5,51,5
Baseado em Modelo,45,2.2884615384615383,2,52,16
Orientado a Objetivos,45,1.5384615384615385,1,52,22
Baseado em Utilidade,45,1.5384615384615385,1,52,22
Reflexivo,46,6.151515151515151,5,66,7
Baseado em Modelo,46,2.6231884057971016,3,69,21
Orientado a Objetivos,46,1.7714285714285714,2,70,34
Baseado em Utilidade,46,1.7714285714285714,2,70,34
Reflexivo,47,6.69811320754717,5,53,5
Baseado em Modelo,47,3.175438596491228,3,57,21
Orientado a Objetivos,47,2.0701754385964914,2,57,29
Baseado em Utilidade,47,2.0701754385964914,2,57,29
Reflexivo,48,6.712121212121212,5,66,8
Baseado em Modelo,48,2.8676470588235294,3,68,24
Orientado a Objetivos,48,2.0,2,68,32
Baseado em Utilidade,48,2.0,2,68,30
Reflexivo,49,6.5,5,62,8
Baseado em Modelo,49,3.0307692307692307,3,65,24
Orientado a Objetivos,49,1.803030303030303,2,66,34
Baseado em Utilidade,49,1.803030303030303,2,66,34
Reflexivo,50,6.301587301587301,5,63,6
Baseado em Modelo,50,3.0,3,65,20
Orientado a Objetivos,50,1.9242424242424243,2,66,30
Baseado em Utilidade,50,1.9090909090909092,2,66,30
Reflexivo,51,6.681818181818182,5,44,5
Baseado em Modelo,51,2.234042553191489,3,47,17
Orientado a Objetivos,51,1.7083333333333333,1,48,21
Baseado em Utilidade,51,1.7083333333333333,1,48,21
Reflexivo,52,6.0,5,60,7
Baseado em Modelo,52,2.8833333333333333,3,60,22
Orientado a Objetivos,52,1.819672131147541,2,61,32
Baseado em Utilidade,52,1.819672131147541,2,61,32
Reflexivo,53,6.634615384615385,5,52,5
Baseado em Modelo,53,2.69811320754717,3,53,19
Orientado a Objetivos,53,1.8113207547169812,2,53,27
Baseado em Utilidade,53,1.8113207547169812,2,53,27
Reflexivo,54,6.672413793103448,5,58,5
Baseado em Modelo,54,2.8852459016393444,3,61,19
Orientado a Objetivos,54,1.967741935483871,2,62,28
Baseado em Utilidade,54,1.967741935483871,2,62,28
Reflexivo,55,7.591836734693878,5,49,4
Baseado em Modelo,55,2.4716981132075473,2,53,19
Orientado a Objetivos,55,1.6981132075471699,1,53,31
Baseado em Utilidade,55,1.6981132075471699,1,53,31
Reflexivo,56,6.222222222222222,5,63,6
Baseado em Modelo,56,2.923076923076923,3,65,22
Orientado a Objetivos,56,1.8636363636363635,2,66,35
Baseado em Utilidade,56,1.8636363636363635,2,66,35
Reflexivo,57,6.032786885245901,5,61,6
Baseado em Modelo,57,2.903225806451613,3,62,22
Orientado a Objetivos,57,1.8412698412698412,2,63,32
Baseado em Utilidade,57,1.8412698412698412,2,63,32
Reflexivo,58,6.491525423728813,5,59,6
Baseado em Modelo,58,2.7903225806451615,3,62,22
Orientado a Objetivos,58,1.903225806451613,2,62,35
Baseado em Utilidade,58,1.903225806451613,2,62,35
Reflexivo,59,7.180327868852459,5,61,7
Baseado em Modelo,59,2.5238095238095237,3,63,21
Orientado a Objetivos,59,1.9841269841269842,2,63,28
Baseado em Utilidade,59,1.9841269841269842,2,63,26
Reflexivo,60,5.35,5,60,5
Baseado em Modelo,60,2.4838709677419355,3,62,19
Orientado a Objetivos,60,1.7258064516129032,2,62,29
Baseado em Utilidade,60,1.7258064516129032,2,62,29
Reflexivo,61,6.381818181818182,5,55,5
Baseado em Modelo,61,2.6206896551724137,2,58,16
Orientado a Objetivos,61,1.8275862068965518,1,58,30
Baseado em Utilidade,61,1.8275862068965518,1,58,30
Reflexivo,62,7.03921568627451,5,51,5
Baseado em Modelo,62,3.3703703703703702,3,54,18
Orientado a Objetivos,62,1.8545454545454545,2,55,27
Baseado em Utilidade,62,1.8545454545454545,2,55,27
Reflexivo,63,6.473684210526316,5,57,6
Baseado em Modelo,63,2.389830508474576,2,59,19
Orientado a Objetivos,63,1.7833333333333334,1,60,32
Baseado em Utilidade,63,1.7833333333333334,1,60,32
Reflexivo,64,6.4603174603174605,5,63,6
Baseado em Modelo,64,2.707692307692308,3,65,21
Orientado a Objetivos,64,1.9384615384615385,2,65,31
Baseado em Utilidade,64,1.9384615384615385,2,65,31
Reflexivo,65,6.37037037037037,5,54,5
Baseado em Modelo,65,3.1785714285714284,3,56,22
Orientado a Objetivos,65,1.7241379310344827,1,58,28
Baseado em Utilidade,65,1.7241379310344827,1,58,28
Reflexivo,66,6.566666666666666,5,60,7
Baseado em Modelo,66,2.9,4,60,18
Orientado a Objetivos,66,2.3666666666666667,3,60,22
Baseado em Utilidade,66,2.35,3,60,22
Reflexivo,67,6.490196078431373,5,51,5
Baseado em Modelo,67,2.462962962962963,3,54,19
Orientado a Objetivos,67,1.6851851851851851,2,54,27
Baseado em Utilidade,67,1.6851851851851851,2,54,27
Reflexivo,68,7.375,5,48,6
Baseado em Modelo,68,3.3125,3,48,19
Orientado a Objetivos,68,1.62,1,50,25
Baseado em Utilidade,68,1.62,1,50,25
Reflexivo,69,6.442622950819672,5,61,5
Baseado em Modelo,69,3.338709677419355,3,62,20
Orientado a Objetivos,69,2.0952380952380953,2,63,29
Baseado em Utilidade,69,2.0952380952380953,2,63,29
Reflexivo,70,6.3,5,60,7
Baseado em Modelo,70,2.6333333333333333,3,60,21
Orientado a Objetivos,70,2.033333333333333,2,60,27
Baseado em Utilidade,70,2.033333333333333,2,60,27
Reflexivo,71,6.0,5,60,6
Baseado em Modelo,71,3.0327868852459017,3,61,21
Orientado a Objetivos,71,1.7096774193548387,2,62,28
Baseado em Utilidade,71,1.7096774193548387,2,62,28
